index,searched_keyword,site_domain,result_title,result_date,result_url
41,"""digital security by design""",.uk,AutoCHERI project addresses cyber security risks in the ...,26 Sept 2023,https://www.airto.co.uk/2023/09/autocheri-project-addresses-cyber-security-risks-in-the-automotive-industry/
42,"""digital security by design""",.uk,Programme Sessions - ECS September 2024,19 Sept 2024,https://whitehallmedia.co.uk/ecssep2024/programme/
43,"""digital security by design""",.uk,Cyber security for all: Meet Professor Lizzie Coles Kemp,20 Jun 2024,https://www.royalholloway.ac.uk/research-and-teaching/departments-and-schools/information-security/news/cyber-security-for-all-meet-professor-lizzie-coles-kemp/
44,"""digital security by design""",.uk,Dr Petar Radanliev,30 Sept 2024,https://www.ox.ac.uk/news-and-events/find-an-expert/dr-petar-radanliev
45,"""digital security by design""",.uk,RISCS Management Team,17 Aug 2020,https://riscs.org.uk/about/riscs-management/
46,"""digital security by design""",.uk,Women in Digital: Elisabetta Zaccaria,22 Oct 2020,https://tdpstaging.uk/news/2020/10/22/women-in-digital-elisabetta-zaccaria/
47,"""digital security by design""",.uk,Cyber Security,14 Dec 2023,https://www.drisq.uk/cyber-security
48,"""digital security by design""",.uk,Projects - ScienceScope,29 Jul 2019,https://sciencescope.uk/projects/
49,"""digital security by design""",.uk,,,
50,"""digital security by design""",.uk,Robert Atkinson,31 May 2022,https://pureportal.strath.ac.uk/en/persons/robert-atkinson
51,"""digital security by design""",.uk,Network of Networks,15 Oct 2021,https://connectedeverything.ac.uk/activities/network-of-networks/
52,"""digital security by design""",.uk,Surviving the 2023 shockwaves,3 Dec 2022,https://computingsecurity.co.uk/articles/?article_id=12726&Mag=security
53,"""digital security by design""",.uk,Professor Elvira Uyarra,27 May 2021,https://www.productivity.ac.uk/people/dr-elvira-uyarra/
54,"""digital security by design""",.uk,News Archive | ECIT,13 Mar 2023,https://www.qub.ac.uk/ecit/News/archive/
55,"""digital security by design""",.uk,Regulating Data Privacy and Cybersecurity,by WMW Lam,https://www.research.ed.ac.uk/files/404323910/The_J_Industrial_Economics_-_2023_-_Lam_-_Regulating_Data_Privacy_and_Cybersecurity.pdf
56,"""digital security by design""",.uk,Equitable Privacy,20 Mar 2022,https://research-information.bris.ac.uk/en/projects/equitable-privacy
57,"""digital security by design""",.uk,Drivers and barriers for secure hardware adoption across ...,by A Tomlinson,https://cronfa.swan.ac.uk/Record/cronfa61037/Download/61037__25360__18e7e213baa744268ed0c34a0a0e3506.pdf
58,"""digital security by design""",.uk,VeTSS Problem Book 2024,18 May 2024,https://vetss.org.uk/wp-content/uploads/sites/152/2024/05/VeTSS_Problem_Book_2024.pdf
59,"""digital security by design""",.uk,Advanced Reliable Computer Systems Group (ARCoS),20 Apr 2021,https://www.brookes.ac.uk/research/units/tde/groups/advanced-reliable-computer-systems-group
60,"""digital security by design""",.uk,Six cyber security holes you need to plug now,29 Jul 2022,https://www.itpro.co.uk/security/cyber-security/368543/six-cyber-security-holes-you-need-to-plug-now
61,"""digital security by design""",.uk,Regulating Data Privacy and Cybersecurity*,by WMANW LAM,https://ueaeprints.uea.ac.uk/81453/7/The_J_Industrial_Economics_2023_Lam_Regulating_Data_Privacy_and_Cybersecurity.pdf
62,"""digital security by design""",.uk,Speakers - GOVSEC May 2024,23 May 2024,https://whitehallmedia.co.uk/govsecmay2024/speakers/
63,"""digital security by design""",.uk,CHERITech 23 (#cheritech23) CHERI Technical Workshop ...,31 Mar 2023,https://www.dcs.gla.ac.uk/~jsinger/cheritech23.html
64,"""digital security by design""",.uk,The Mathematical Sciences and the ISCF,4 Jun 2019,https://www.icms.org.uk/downloads/ISCF/ISCF_Maths_ISCF.pdf
65,"""digital security by design""",.uk,From privacy to partnership,23 Jan 2023,https://www.royalsoc.ac.uk/-/media/policy/projects/privacy-enhancing-technologies/from-privacy-to-partnership.pdf
66,"""digital security by design""",.uk,The North West Cyber Corridor Innovation Impact Study,17 Nov 2023,https://www.lancaster.ac.uk/media/lancaster-university/content-assets/images/security-lancaster/cyber-foundry/LancasterCyberCorridorImpactStudy.pdf
67,"""digital security by design""",.uk,Quick Reads,26 Jun 2024,https://startupsmagazine.co.uk/quick-reads?sort_bef_combine=created%20DESC&sort_by=created&sort_order=DESC&page=7
68,"""digital security by design""",.uk,Secret Life of Data Competition – Jean Golding Institute News,2 Nov 2022,https://jeangoldinginstitute.blogs.bristol.ac.uk/2022/11/02/secret-life-of-data-competition/
69,"""digital security by design""",.uk,Verified Security for the Morello Capability-enhanced ...,by T Bauereiss,https://www.research.ed.ac.uk/files/260614811/Verified_Security_BAUEREISS_DOA22122021_VOR_CC_BY.pdf
70,"""digital security by design""",.uk,Welcome to International Cyber Expo,19 Mar 2020,https://btc.co.uk/click_counter/click.php?id=1205
71,"""digital security by design""",.uk,Seizing the opportunity of a thriving UK semiconductor ...,19 May 2023,https://csa.catapult.org.uk/news-insights/seizing-the-opportunity-of-a-thriving-uk-semiconductor-industry/
72,"""digital security by design""",.uk,Cybersecurity Resilience in SMEs. A Machine Learning ...,by Fernandez De Arroyabe Fernandez,https://repository.essex.ac.uk/36287/1/Cybersecurity%20Resilience%20in%20SMEs.%20A%20Machine%20Learning%20Approach.pdf
73,"""digital security by design""",.uk,pottify - Rob Potter,11 Nov 2023,http://pottify.co.uk/
74,"""digital security by design""",.uk,"CERTs Urge Patching of Google Chrome, Android Flaws",10 Feb 2022,https://www.databreachtoday.co.uk/certs-urge-patching-google-chrome-android-flaws-a-18490
75,"""digital security by design""",.uk,British Polish Tech Forum 2023 | GoTechPoland,14 Nov 2023,https://www.gotechpoland.co.uk/2023
76,"""digital security by design""",.uk,Drivers and barriers for secure hardware adoption ... - Cronfa,by A Tomlinson,https://cronfa.swan.ac.uk/Record/cronfa61037/Details
77,"""digital security by design""",.uk,The Reality of an Interconnected World,17 Nov 2022,https://connectedtechnologysolutions.co.uk/talks/the-reality-of-an-interconnected-world/
78,"""digital security by design""",.uk,The CamilleX Framework for the Rodin Platform - ePrints Soton,by TS Hoang,https://eprints.soton.ac.uk/448174/
79,"""digital security by design""",.uk,UKDF 2022 - UK Design Forum,17 Mar 2022,https://ukdesignforum.org.uk/ukdf-2022/
80,"""digital security by design""",.uk,"Semiconductor Supply Chains, AI and Economic Statecraft",9 Apr 2024,https://cetas.turing.ac.uk/publications/semiconductor-supply-chains-ai-and-economic-statecraft
81,"""digital security by design""",.uk,Maria Bada - School of Biological and Behavioural Sciences,15 Nov 2022,https://www.qmul.ac.uk/sbbs/staff/maria-bada.html
82,"""digital security by design""",.uk,Knowledge Centre,3 days ago,https://ktn-uk.co.uk/knowledge-centre/
83,"""digital security by design""",.uk,UK Research and Innovation's management of the ...,5 Feb 2021,https://www.nao.org.uk/wp-content/uploads/2021/02/UK-Research-and-Innovations-management-of-the-Industrial-Strategy-Challenge-Fund.pdf
84,"""digital security by design""",.uk,"Lenovo patches ThinkPad, Yoga, IdeaPad UEFI secure ...",10 Nov 2022,https://www.itpro.co.uk/security/vulnerability/369491/lenovo-patches-thinkpad-yoga-ideapad-uefi-secure-boot-vulnerability
85,"""digital security by design""",.uk,Barriers and challenges 1 1 This paper was suppo,by MF Arroyabe,https://repository.essex.ac.uk/37016/1/1-s2.0-S0040162523007369-main.pdf
86,"""digital security by design""",.uk,Arm | Faculty of Engineering,2 Oct 2021,https://www.imperial.ac.uk/engineering/departments/computing/industry/aci/2021-22/arm/
87,"""digital security by design""",.uk,Ivan Andonovic,19 Oct 2014,https://pureportal.strath.ac.uk/en/persons/ivan-andonovic
88,"""digital security by design""",.uk,Towards Secure MicroPython on Morello (WIP),by J Singer,https://www.dcs.gla.ac.uk/~jsinger/pdfs/lctes23.pdf
89,"""digital security by design""",.uk,Agenda - UK Cyber Week 2024,18 Apr 2024,https://www.ukcyberweek.co.uk/agenda
90,"""digital security by design""",.uk,Professor Michael Butler appointed Southampton Dean ...,16 Nov 2020,https://www.southampton.ac.uk/news/2020/11/michael-butler-feps-dean.page
91,"""digital security by design""",.uk,Robotics festival - Speakers,1 Mar 2023,https://atadastral.co.uk/robotics-festival/speakers/
92,"""digital security by design""",.uk,Westminster eForum,11 Sept 2024,https://www.westminsterforumprojects.co.uk/publications/westminster_eforum
93,"""digital security by design""",.uk,Dr Hoang Nguyen,26 Oct 2022,https://www.swansea.ac.uk/staff/h.n.nguyen/
94,"""digital security by design""",.uk,AutoCHERI project addresses cyber security risks in ...,29 Aug 2023,https://csa.catapult.org.uk/uncategorized/autocheri-project-addresses-cyber-security-risks-in-the-automotive-industry/
95,"""digital security by design""",.uk,We posted an AirTag! - Part One,22 Nov 2023,https://www.dynamicdevices.co.uk/we-posted-an-airtag-part-one/
96,"""digital security by design""",.uk,Digital DNA Glasgow 2023,1 Nov 2023,https://digitaldna.org.uk/digital-dna-glasgow-2023/
97,"""digital security by design""",.uk,Popular Articles,29 Jun 2022,https://startupsmagazine.co.uk/popular-articles?sort_bef_combine=created%20DESC&sort_by=created&sort_order=DESC&page=40
